id,low,high,likely,confidence,,,,,,,,,,,,,,,,,,,,,,
1,68,81,77,75,,,,,,,,,,,,,,,,,,,,,,
2,80,84,82,79,,,,,,,,,,,,,,,,,,,,,,
3,70,90,85,50,,,,,,,,,,,,,,,,,,,,,,
4,79,84,83,40,,,,,,,,,,,,,,,,,,,,,,
5,78,93,86,95,,,,,,,,,,,,,,,,,,,,,,
6,80,86,83,75,,,,,,,,,,,,,,,,,,,,,,
7,76,88,83,80,,,,,,,,,,,,,,,,,,,,,,
8,82,88,86,90,,,,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
9,87,78,83,90,,,,low,68,80,70,79,78,80,76,82,87,50,80,79,77,78,79,85,84,79
10,50,100,85,25,,,,high,81,84,90,84,93,86,88,88,78,100,90,92,85,85,85,88,91,89
11,80,90,85,70,,,,likely,77,82,85,83,86,83,83,86,83,85,85,86,82,81,81,87,87,85
12,79,92,86,80,,,,confidence,75,79,50,40,95,75,80,90,90,25,70,80,80,80,80,5,80,60
13,77,85,82,80,,,,,,,,,,,,,,,,,,,,,,
14,78,85,81,80,,,,id,"1,","2,","3,","4,","5,","6,","7,","8,","9,","10,","11,","12,","13,","14,","15,","16,","17,","18,"
15,79,85,81,80,,,,low,"68,","80,","70,","79,","78,","80,","76,","82,","87,","50,","80,","79,","77,","78,","79,","85,","84,","79,"
16,85,88,87,5,,,,high,"81,","84,","90,","84,","93,","86,","88,","88,","78,","100,","90,","92,","85,","85,","85,","88,","91,","89,"
17,84,91,87,80,,,,likely,"77,","82,","85,","83,","86,","83,","83,","86,","83,","85,","85,","86,","82,","81,","81,","87,","87,","85,"
18,79,89,85,60,,,,confidence,"75,","79,","50,","40,","95,","75,","80,","90,","90,","25,","70,","80,","80,","80,","80,","5,","80,","60,"
